Image_Name,Image_Path,Plate_Detected,Detected_Text,x1,y1,x2,y2,Processed_Image_Path,Processing_Time,Confidence_Score
0017.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0017.jpg,True,ب د٤٣٦٤,312,676,448,745,results\plates\plate_0017.jpg,0.95,1.0
0018.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0018.jpg,True,ع ي ق٦٤٨٣,160,489,247,532,results\plates\plate_0018.jpg,0.80,1.0
0019.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0019.jpg,True,ع ي ق٦٤٨٣,170,449,253,492,results\plates\plate_0019.jpg,0.82,1.0
0020.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0020.jpg,True,د س ع٥٥٢٣,397,373,504,426,results\plates\plate_0020.jpg,0.87,1.0
0021.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0021.jpg,True,ر ي ع١٦٤٧,408,537,532,598,results\plates\plate_0021.jpg,1.05,1.0
0022.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0022.jpg,True,ع ر٤٤٧٥,328,659,441,719,results\plates\plate_0022.jpg,1.23,1.0
0023.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0023.jpg,True,أ ع ر٤٤٧٥,307,596,430,659,results\plates\plate_0023.jpg,1.55,1.0
0024.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0024.jpg,True,ع ر٤٤٧٥,317,470,411,519,results\plates\plate_0024.jpg,1.08,1.0
0025.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0025.jpg,True,أ ف ر١٢٤٥,201,520,335,590,results\plates\plate_0025.jpg,1.02,1.0
0026.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0026.jpg,True,ص ق د٢٤١١,378,529,508,596,results\plates\plate_0026.jpg,1.10,1.0
0027.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0027.jpg,True,ص ق د٢٤١١,398,498,538,570,results\plates\plate_0027.jpg,1.17,1.0
0028.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0028.jpg,True,ص ق د٢٤١١,373,540,502,609,results\plates\plate_0028.jpg,1.16,1.0
0029.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0029.jpg,True,ط ع ر٤٤٧٥,320,464,413,517,results\plates\plate_0029.jpg,1.30,1.0
0030.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0030.jpg,True,ع ر٤٤٧٥,328,659,441,719,results\plates\plate_0030.jpg,1.05,1.0
0031.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0031.jpg,True,أ ع ر٤٤٧٥,307,596,430,659,results\plates\plate_0031.jpg,1.03,1.0
0032.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0032.jpg,True,ج ق٤٢٩٨,374,455,463,499,results\plates\plate_0032.jpg,1.18,1.0
0033.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0033.jpg,True,ج ق٤٢٩٨,426,538,543,599,results\plates\plate_0033.jpg,1.58,1.0
0034.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0034.jpg,True,ر ط١,286,508,416,578,results\plates\plate_0034.jpg,1.15,1.0
0035.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0035.jpg,True,أ ن س٥١٣,469,951,698,1057,results\plates\plate_0035.jpg,1.19,1.0
0036.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0036.jpg,True,د ف ق٩٤٣٥,330,586,448,640,results\plates\plate_0036.jpg,1.01,1.0
0037.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0037.jpg,True,ق أ ج٤٦٧١,410,616,554,707,results\plates\plate_0037.jpg,1.03,1.0
0038.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0038.jpg,True,س٢,540,485,652,544,results\plates\plate_0038.jpg,1.19,1.0
0039.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0039.jpg,True,د د د٦٦٦٦,437,475,570,547,results\plates\plate_0039.jpg,1.24,1.0
0040.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0040.jpg,True,ر أ١١١,401,482,623,598,results\plates\plate_0040.jpg,1.10,1.0
0041.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0041.jpg,True,ق و ي١١١١,519,294,624,365,results\plates\plate_0041.jpg,1.02,1.0
0042.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0042.jpg,True,أ١,196,214,273,256,results\plates\plate_0042.jpg,1.00,1.0
0043.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0043.jpg,True,ن س ر٢٢٢٢,357,252,511,341,results\plates\plate_0043.jpg,1.24,1.0
0044.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0044.jpg,True,م م٦٦٦٦,271,329,397,414,results\plates\plate_0044.jpg,1.04,1.0
0045.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0045.jpg,True,ع٥٥,178,140,240,172,results\plates\plate_0045.jpg,1.20,1.0
0046.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0046.jpg,True,م و ه٦٦٦٦,395,364,513,427,results\plates\plate_0046.jpg,1.25,1.0
0047.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0047.jpg,True,ع س١,229,211,307,251,results\plates\plate_0047.jpg,0.95,1.0
0048.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0048.jpg,True,و و٥١٥,391,443,595,549,results\plates\plate_0048.jpg,1.14,1.0
0049.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0049.jpg,True,و و و٥٥٥,479,568,624,639,results\plates\plate_0049.jpg,1.12,1.0
0050.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0050.jpg,True,أ٥٥,413,687,596,779,results\plates\plate_0050.jpg,1.10,1.0
0051.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0051.jpg,True,ع ر ب١,491,427,692,541,results\plates\plate_0051.jpg,0.99,1.0
0052.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0052.jpg,True,ه د ي١١١١,236,475,354,546,results\plates\plate_0052.jpg,1.07,1.0
0053.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0053.jpg,True,ي ج ل٥٥٥٥,412,509,563,591,results\plates\plate_0053.jpg,0.94,1.0
0054.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0054.jpg,True,ع ل ي٨٨٨,219,445,320,500,results\plates\plate_0054.jpg,1.05,1.0
0055.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0055.jpg,True,ق ه ع٥٨٤٧,572,388,665,451,results\plates\plate_0055.jpg,0.94,1.0
0056.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0056.jpg,True,ع أ و٣٨٧١,221,570,322,619,results\plates\plate_0056.jpg,0.87,1.0
0057.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0057.jpg,True,ط س و٨٥٢٩,187,608,323,675,results\plates\plate_0057.jpg,0.83,1.0
0058.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0058.jpg,True,ط س و٨٥٢٩,136,480,291,564,results\plates\plate_0058.jpg,0.81,1.0
0059.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0059.jpg,True,د ل ع٤٤٤,385,835,513,901,results\plates\plate_0059.jpg,1.05,1.0
0060.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0060.jpg,True,أ م ي٦٦٦٦,408,549,592,653,results\plates\plate_0060.jpg,0.96,1.0
0061.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0061.jpg,True,ه ن أ٧٧٧٧,260,451,523,601,results\plates\plate_0061.jpg,0.97,1.0
0062.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0062.jpg,True,أ أ أ٨٨٨,460,524,718,649,results\plates\plate_0062.jpg,0.98,1.0
0063.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0063.jpg,True,م و ن١١١١,400,440,798,643,results\plates\plate_0063.jpg,0.99,1.0
0064.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0064.jpg,True,س ي د٩٩٩,314,576,480,653,results\plates\plate_0064.jpg,1.07,1.0
0065.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0065.jpg,True,ع ل ي١,235,534,368,602,results\plates\plate_0065.jpg,1.07,1.0
0066.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0066.jpg,True,ج ب ل٦٦٦٦,442,481,671,598,results\plates\plate_0066.jpg,0.98,1.0
0067.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0067.jpg,True,م م٥٥٥٥,415,463,632,558,results\plates\plate_0067.jpg,0.94,1.0
0068.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0068.jpg,True,أ ع ف١١١,334,832,567,945,results\plates\plate_0068.jpg,1.06,1.0
0069.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0069.jpg,True,أ أ أ١,457,613,623,696,results\plates\plate_0069.jpg,1.07,1.0
0070.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0070.jpg,True,س ي ف٢,515,782,623,838,results\plates\plate_0070.jpg,1.07,1.0
0071.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0071.jpg,True,ر١١١,501,696,668,780,results\plates\plate_0071.jpg,0.98,1.0
0072.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0072.jpg,True,م ص ر٢,426,580,685,709,results\plates\plate_0072.jpg,0.97,1.0
0073.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0073.jpg,True,ب ر و٦٦٦٦,443,765,775,934,results\plates\plate_0073.jpg,1.08,1.0
0074.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0074.jpg,True,ج ن ي٧٧٧,309,298,449,368,results\plates\plate_0074.jpg,1.11,1.0
0075.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0075.jpg,True,أ ص ه٥٥٥٥,917,381,958,404,results\plates\plate_0075.jpg,1.00,1.0
0076.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0076.jpg,True,ن س ر٧,454,469,657,578,results\plates\plate_0076.jpg,1.02,1.0
0077.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0077.jpg,True,أ سد٥٥٥٥  ٥,355,766,718,956,results\plates\plate_0077.jpg,1.02,1.0
0078.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0078.jpg,True,ع د ل٢٢٢٢,514,587,644,653,results\plates\plate_0078.jpg,1.11,1.0
0079.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0079.jpg,True,م م٥,260,391,438,484,results\plates\plate_0079.jpg,0.98,1.0
0080.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0080.jpg,True,س٢,410,573,621,683,results\plates\plate_0080.jpg,0.98,1.0
0081.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0081.jpg,True,س س س٦,395,305,570,393,results\plates\plate_0081.jpg,0.89,1.0
0082.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0082.jpg,True,أ س د٤١٤,245,315,432,411,results\plates\plate_0082.jpg,1.02,1.0
0083.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0083.jpg,True,ن س ر٧,327,190,454,255,results\plates\plate_0083.jpg,1.07,1.0
0084.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0084.jpg,True,ب د ر٨٨٨٨,267,347,399,415,results\plates\plate_0084.jpg,1.12,1.0
0085.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0085.jpg,True,د ل ع٤٤٤٤,374,674,522,749,results\plates\plate_0085.jpg,0.98,1.0
0086.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0086.jpg,True,ب ي٥٥٥٥,557,615,684,680,results\plates\plate_0086.jpg,1.13,1.0
0087.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0087.jpg,True,م أ٧٧٧٧,396,613,620,725,results\plates\plate_0087.jpg,0.99,1.0
0088.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0088.jpg,True,ه أ د١١١١,223,329,325,386,results\plates\plate_0088.jpg,0.96,1.0
0089.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0089.jpg,True,ن ص ر٧٧٧٧,213,333,307,382,results\plates\plate_0089.jpg,1.06,1.0
0090.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0090.jpg,True,د ي٨٥٤٧٦,311,604,452,665,results\plates\plate_0090.jpg,0.98,1.0
0091.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0091.jpg,True,ج ج ج٨٨٨٨,382,570,534,645,results\plates\plate_0091.jpg,1.10,1.0
0092.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0092.jpg,True,م ه٦٦٦٦,428,644,585,720,results\plates\plate_0092.jpg,1.12,1.0
0093.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0093.jpg,True,ج ب ل٥,662,664,833,750,results\plates\plate_0093.jpg,0.99,1.0
0094.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0094.jpg,True,ج ب ل١١١,369,690,574,802,results\plates\plate_0094.jpg,1.07,1.0
0095.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0095.jpg,True,ه د ف٦٦٦٦,434,396,533,461,results\plates\plate_0095.jpg,1.23,1.0
0096.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0096.jpg,True,م٣,264,317,399,386,results\plates\plate_0096.jpg,1.07,1.0
0097.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0097.jpg,True,ع ه٧٧٧٧,237,697,378,772,results\plates\plate_0097.jpg,1.10,1.0
0098.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0098.jpg,True,و أ و٩١٩,537,453,703,546,results\plates\plate_0098.jpg,0.98,1.0
0099.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0099.jpg,True,د د د٦٦٦٦,902,520,997,571,results\plates\plate_0099.jpg,1.11,1.0
0100.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0100.jpg,True,ج د ع٧٥٦,437,507,749,669,results\plates\plate_0100.jpg,1.06,1.0
0101.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0101.jpg,True,ر ر ر٦٦٦,342,180,565,276,results\plates\plate_0101.jpg,0.93,1.0
0102.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0102.jpg,True,أ س د١١١١,197,230,309,285,results\plates\plate_0102.jpg,1.17,1.0
0103.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0103.jpg,True,س ع د٥,424,523,519,569,results\plates\plate_0103.jpg,0.98,1.0
0104.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0104.jpg,True,أ١,466,268,570,318,results\plates\plate_0104.jpg,0.86,1.0
0105.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0105.jpg,True,م١,194,268,248,302,results\plates\plate_0105.jpg,1.04,1.0
0106.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0106.jpg,True,ق م ر١٢١٢,483,325,590,379,results\plates\plate_0106.jpg,0.95,1.0
0107.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0107.jpg,True,ر ر ر٣٣٣٣,463,182,577,241,results\plates\plate_0107.jpg,0.88,1.0
0108.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0108.jpg,True,أ أ١١,501,685,671,772,results\plates\plate_0108.jpg,1.08,1.0
0109.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0109.jpg,True,ص ص ص٦٦٦,296,435,422,500,results\plates\plate_0109.jpg,0.96,1.0
0110.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0110.jpg,True,ه و م٥٥٥,200,482,362,563,results\plates\plate_0110.jpg,1.01,1.0
0111.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0111.jpg,True,ع ل ي٧٧٧٧,273,420,448,513,results\plates\plate_0111.jpg,0.97,1.0
0112.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0112.jpg,True,م م م١,351,461,506,541,results\plates\plate_0112.jpg,1.08,1.0
0113.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0113.jpg,True,ن ج م٦٦٦٦,391,191,640,311,results\plates\plate_0113.jpg,0.81,1.0
0114.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0114.jpg,True,د ف ل٦٦٦,275,471,337,515,results\plates\plate_0114.jpg,1.07,1.0
0115.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0115.jpg,True,س أ ر٥٥٥,282,702,541,828,results\plates\plate_0115.jpg,0.94,1.0
0116.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0116.jpg,True,أ أ أ٧٧٧٧,324,328,483,411,results\plates\plate_0116.jpg,1.13,1.0
0117.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0117.jpg,True,س م٦٦٦٦,387,386,570,483,results\plates\plate_0117.jpg,0.84,1.0
0118.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0118.jpg,True,ع ل ي٩٩٩٩,243,567,828,878,results\plates\plate_0118.jpg,1.30,1.0
0119.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0119.jpg,True,ه س١,263,589,358,639,results\plates\plate_0119.jpg,1.07,1.0
0120.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0120.jpg,True,ر ج ب٦٦٦,282,454,364,497,results\plates\plate_0120.jpg,0.85,1.0
0121.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0121.jpg,True,م ج د٤٤٤,239,444,364,513,results\plates\plate_0121.jpg,1.06,1.0
0122.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0122.jpg,True,م د و٦٦٦٦,378,574,649,705,results\plates\plate_0122.jpg,0.99,1.0
0123.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0123.jpg,True,م ع٦٦٦٦,262,496,390,559,results\plates\plate_0123.jpg,0.93,1.0
0124.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0124.jpg,True,د ل ع٦٦٦٦,262,317,487,435,results\plates\plate_0124.jpg,1.22,1.0
0125.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0125.jpg,True,ج ج ج٥٥٥,185,566,533,701,results\plates\plate_0125.jpg,0.94,1.0
0126.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0126.jpg,True,س أ أ١١١١,249,337,380,404,results\plates\plate_0126.jpg,1.06,1.0
0127.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0127.jpg,True,ن ن ن٤٤٤,236,504,567,672,results\plates\plate_0127.jpg,1.07,1.0
0128.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0128.jpg,True,و١١,193,371,247,400,results\plates\plate_0128.jpg,0.88,1.0
0129.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0129.jpg,True,د ل ع٥٥٥,404,278,689,424,results\plates\plate_0129.jpg,1.15,1.0
0130.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0130.jpg,True,أ٣,415,331,502,373,results\plates\plate_0130.jpg,1.05,1.0
0131.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0131.jpg,True,ه١,245,412,348,471,results\plates\plate_0131.jpg,1.12,1.0
0132.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0132.jpg,True,ي س ن١,475,661,664,757,results\plates\plate_0132.jpg,0.99,1.0
0133.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0133.jpg,True,م ب م٩٩٩,260,469,397,547,results\plates\plate_0133.jpg,0.94,1.0
0134.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0134.jpg,True,أ ج د٥٥٥,265,446,451,564,results\plates\plate_0134.jpg,1.04,1.0
0135.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0135.jpg,True,د د د٥٥٥٥,289,455,443,533,results\plates\plate_0135.jpg,1.04,1.0
0136.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0136.jpg,True,ج ج ج٤٤٤,388,308,555,393,results\plates\plate_0136.jpg,0.93,1.0
0137.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0137.jpg,True,أ ه م٤٤٤,282,272,426,367,results\plates\plate_0137.jpg,0.86,1.0
0138.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0138.jpg,True,ه ه٢٢٢٢,173,275,238,318,results\plates\plate_0138.jpg,0.84,1.0
0139.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0139.jpg,True,م س٤٤٤٤,338,290,507,376,results\plates\plate_0139.jpg,0.94,1.0
0140.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0140.jpg,True,و١,277,252,399,313,results\plates\plate_0140.jpg,1.06,1.0
0141.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0141.jpg,True,ف ف ف٤٤٤,343,408,525,500,results\plates\plate_0141.jpg,0.98,1.0
0142.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0142.jpg,True,أ ر٤٤٤٤,203,692,451,833,results\plates\plate_0142.jpg,1.07,1.0
0143.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0143.jpg,True,ج ه٩٣٨٥,363,487,438,528,results\plates\plate_0143.jpg,0.94,1.0
0144.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0144.jpg,True,م م م٤٤٤٤,282,330,426,403,results\plates\plate_0144.jpg,1.06,1.0
0145.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0145.jpg,True,ع ل ي٣٣٣,336,569,474,640,results\plates\plate_0145.jpg,0.93,1.0
0146.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0146.jpg,True,ج ي ب١١١,379,581,498,647,results\plates\plate_0146.jpg,0.95,1.0
0147.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0147.jpg,True,ع ط ر٩٩٩,436,242,665,363,results\plates\plate_0147.jpg,0.93,1.0
0148.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0148.jpg,True,ع ع ع٢٢٢٢,800,349,1089,494,results\plates\plate_0148.jpg,0.96,1.0
0149.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0149.jpg,True,م ج د٨٨٨,778,329,1207,523,results\plates\plate_0149.jpg,0.90,1.0
0150.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0150.jpg,True,ل و أ٥٥٥٥,279,315,336,345,results\plates\plate_0150.jpg,0.88,1.0
0151.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0151.jpg,True,ه أ م٧٧٧,341,161,621,308,results\plates\plate_0151.jpg,0.94,1.0
0152.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0152.jpg,True,أ م م١,408,661,627,772,results\plates\plate_0152.jpg,0.96,1.0
0153.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0153.jpg,True,ن م ر٧٧,252,360,804,636,results\plates\plate_0153.jpg,0.94,1.0
0154.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0154.jpg,True,م م م٢٢٢,411,430,597,531,results\plates\plate_0154.jpg,0.94,1.0
0155.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0155.jpg,True,د د د٦٦٦٦,407,335,508,389,results\plates\plate_0155.jpg,0.88,1.0
0156.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0156.jpg,True,أ ه م٥٥٥,397,368,617,482,results\plates\plate_0156.jpg,1.26,1.0
0157.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0157.jpg,True,و و٦٦٦٦,288,253,416,316,results\plates\plate_0157.jpg,1.05,1.0
0158.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0158.jpg,True,أ أ١,233,560,390,641,results\plates\plate_0158.jpg,0.92,1.0
0159.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0159.jpg,True,س س١,341,323,495,404,results\plates\plate_0159.jpg,0.93,1.0
0160.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0160.jpg,True,س ي د٧٧٧,373,464,595,573,results\plates\plate_0160.jpg,0.99,1.0
0161.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0161.jpg,True,أ د م١١١١,330,533,447,591,results\plates\plate_0161.jpg,0.94,1.0
0162.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0162.jpg,True,ن م ر٧٧,407,702,505,752,results\plates\plate_0162.jpg,0.98,1.0
0163.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0163.jpg,True,أ أ١,220,248,595,465,results\plates\plate_0163.jpg,0.95,1.0
0164.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0164.jpg,True,أ ه م٥٥٥,397,368,617,482,results\plates\plate_0164.jpg,0.95,1.0
0165.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0165.jpg,True,أ ه م٥٥٥٥,289,288,435,364,results\plates\plate_0165.jpg,1.06,1.0
0166.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0166.jpg,True,ع ع ع٩٩٩,445,392,600,464,results\plates\plate_0166.jpg,0.95,1.0
